decline	invaded	protected	light
yes	no	no	0
yes	no	no	0
yes	no	no	2
yes	no	no	2
yes	no	no	3
yes	no	no	3
yes	yes	no	0
yes	yes	no	3
yes	yes	no	3
yes	yes	no	3
yes	yes	no	3
yes	yes	no	3
yes	yes	no	3
yes	yes	no	3
yes	yes	no	4
yes	yes	no	4
yes	yes	no	4
yes	yes	no	4
yes	no	yes	0
yes	no	yes	2
yes	no	yes	3
yes	yes	yes	0
yes	yes	yes	3
yes	yes	yes	3
yes	yes	yes	4
yes	yes	yes	4
no	no	no	2
no	no	no	3
no	no	no	4
no	no	no	4
no	no	no	4
no	no	no	4
no	yes	no	0
no	yes	no	1
no	yes	no	2
no	yes	no	2
no	yes	no	3
no	yes	no	3
no	yes	no	4
no	yes	no	4
no	yes	no	4
no	no	yes	0
no	no	yes	0
no	no	yes	0
no	no	yes	1
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	3
no	no	yes	4
no	no	yes	4
no	yes	yes	2
no	yes	yes	2
no	yes	yes	2
no	yes	yes	2
no	yes	yes	3
no	yes	yes	3
no	yes	yes	3
no	yes	yes	3
no	yes	yes	3
no	yes	yes	3
no	yes	yes	4
no	yes	yes	4
